"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Chinstrap","Dream",45.5,17,196,3500,"female",2008
"Adelie","Torgersen",38.7,19,195,3450,"female",2007
"Gentoo","Biscoe",44,13.6,208,4350,"female",2008
"Adelie","Biscoe",36.5,16.6,181,2850,"female",2008
"Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009
"Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008
"Adelie","Dream",35.7,18,202,3550,"female",2008
"Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"Gentoo","Biscoe",43.3,14,208,4575,"female",2009
"Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"Adelie","Dream",36.8,18.5,193,3500,"female",2009
"Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008
"Chinstrap","Dream",50,19.5,196,3900,"male",2007
"Adelie","Biscoe",34.5,18.1,187,2900,"female",2008
"Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"Chinstrap","Dream",52,20.7,210,4800,"male",2008
"Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"Chinstrap","Dream",52,19,197,4150,"male",2007
"Adelie","Dream",41.1,18.1,205,4300,"male",2008
"Adelie","Dream",40.8,18.9,208,4300,"male",2008
"Chinstrap","Dream",45.7,17,195,3650,"female",2009
"Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"Adelie","Dream",37.3,17.8,191,3350,"female",2008
"Gentoo","Biscoe",45.2,16.4,223,5950,"male",2008
"Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"Adelie","Dream",37.5,18.5,199,4475,"male",2009
"Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"Gentoo","Biscoe",46.8,16.1,215,5500,"male",2009
"Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"Adelie","Biscoe",39.6,17.7,186,3500,"female",2008
"Adelie","Biscoe",35,17.9,192,3725,"female",2009
"Adelie","Biscoe",41.6,18,192,3950,"male",2008
"Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"Adelie","Dream",37.8,18.1,193,3750,"male",2009
"Gentoo","Biscoe",47.5,14,212,4875,"female",2009
"Adelie","Dream",42.2,18.5,180,3550,"female",2007
"Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"Adelie","Dream",36.9,18.6,189,3500,"female",2008
